# key (HPO id or exact English label)	zh synonym	— clinical colloquialisms seen in rareDieaseCollect (plan §3.4 / W2–W3)
Scissor gait	剪刀样步态
Hoffmann sign	霍夫曼征阳性
Spastic dysarthria	痉挛性构音障碍
Babinski sign	巴宾斯基征阳性
Hyperreflexia	腱反射亢进
Hyporeflexia	腱反射减弱
Areflexia	腱反射消失
Hepatosplenomegaly	肝脾大
Splenomegaly	脾大
Hepatomegaly	肝大
Kayser-Fleischer ring	K-F环
Ptosis	眼睑下垂
Intellectual disability	智力低下
Global developmental delay	全面发育迟缓
Seizure	抽搐发作
Muscle weakness	肌无力
Gait ataxia	步态不稳
